ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
1892,856347,-4.865679999999999,856347,51,856347,62522,856348,
1792,856349,-4.94256,856349,51,856349,62483,856350,
1987,856365,-4.94256,856365,52,856365,62408,856359,
1899,856371,-4.865679999999999,856371,51,856371,62378,856369,
1961,856381,-4.94256,856381,51,856381,62447,856379,
2070,856401,-4.865679999999999,856401,51,856401,62449,856399,
2050,856405,-4.865679999999999,856405,51,856405,62449,856399,
1987,856407,-4.865679999999999,856407,51,856407,62451,856407,
1931,856409,-4.94256,856409,51,856409,62461,856409,
1890,856411,-4.94256,856411,51,856411,62461,856409,
1896,856415,-5.0194399999999995,856415,51,856415,62461,856409,
1948,856417,-4.94256,856417,51,856417,62470,856417,
2025,856419,-4.94256,856419,51,856419,62485,856419,
2112,856421,-4.94256,856421,51,856421,62485,856419,
2185,856425,-4.865679999999999,856425,52,856425,62485,856419,
2140,856427,-4.865679999999999,856427,51,856427,62514,856427,
2060,856429,-4.94256,856429,51,856429,62496,856429,
1981,856431,-4.865679999999999,856431,52,856431,62496,856429,
1972,856435,-4.94256,856435,52,856435,62496,856429,
2036,856437,-4.94256,856437,51,856437,62528,856437,
2112,856439,-4.94256,856439,51,856439,62530,856439,
2166,856441,-4.865679999999999,856441,52,856441,62530,856439,
2157,856445,-4.865679999999999,856445,52,856445,62530,856439,
2098,856447,-4.865679999999999,856447,52,856447,62576,856447,
2029,856449,-4.865679999999999,856449,51,856449,62603,856449,
1972,856451,-4.865679999999999,856451,51,856451,62603,856449,
1944,856455,-4.865679999999999,856455,52,856455,62603,856449,
1988,856457,-4.865679999999999,856457,50,856457,62597,856457,
2069,856459,-4.865679999999999,856459,51,856459,62648,856459,
2147,856461,-4.94256,856461,51,856461,62648,856459,
2208,856465,-4.94256,856465,51,856465,62648,856459,
2173,856467,-4.94256,856467,50,856467,62643,856467,
2093,856469,-4.94256,856469,52,856469,62670,856469,
1998,856471,-4.94256,856471,51,856471,62670,856469,
1910,856475,-4.94256,856475,51,856475,62670,856469,
1940,856477,-4.94256,856477,50,856477,62673,856477,
2013,856479,-4.94256,856479,51,856479,62715,856479,
2103,856481,-4.94256,856481,51,856481,62715,856479,
2161,856485,-4.94256,856485,51,856485,62715,856479,
2099,856487,-4.94256,856487,50,856487,62750,856487,
1995,856489,-4.865679999999999,856489,50,856489,62772,856489,
1909,856491,-4.94256,856491,51,856491,62796,856492,
1985,856495,-4.865679999999999,856495,51,856495,62796,856492,
2102,856497,-4.865679999999999,856497,51,856497,62796,856492,
2212,856499,-4.94256,856499,51,856499,62856,856499,
2296,856501,-4.94256,856501,51,856501,62849,856502,
2218,856539,-4.865679999999999,856539,52,856539,63014,856540,
2168,856546,-4.865679999999999,856546,51,856546,63007,856546,
2013,856549,-4.94256,856549,51,856549,63022,856550,
2236,856561,-4.865679999999999,856561,52,856561,63017,856560,
2330,856566,-4.94256,856566,51,856566,63000,856566,
2288,856569,-4.94256,856569,51,856569,62992,856570,
2080,856606,-4.865679999999999,856606,51,856606,62928,856606,
2138,856621,-5.32696,856621,51,856621,62899,856620,
2136,856659,-4.94256,856659,51,856659,62896,856660,
2136,856661,-4.94256,856661,51,856661,62896,856660,
2006,856666,-4.865679999999999,856666,52,856666,62900,856666,
1896,856669,-4.94256,856669,51,856669,62900,856666,
2240,856681,-4.94256,856681,51,856681,62993,856681,
2379,856709,-4.865679999999999,856709,51,856709,62964,856701,
2040,856731,-4.94256,856731,52,856731,63065,856731,
1201,856739,-4.865679999999999,856739,50,856739,63065,856731,
1214,856741,-4.865679999999999,856741,51,856741,63114,856741,
1918,856757,-4.94256,856757,51,856757,63122,856751,
2037,856759,-4.865679999999999,856759,51,856759,63107,856759,
2142,856761,-5.0194399999999995,856761,51,856761,63137,856761,
1973,856777,-4.94256,856777,51,856777,63185,856771,
2148,856847,-4.94256,856847,52,856847,63334,856847,
2091,856849,-4.865679999999999,856849,51,856849,63296,856849,
1986,856855,-4.94256,856855,51,856855,63296,856849,
2025,856857,-4.94256,856857,51,856857,63338,856857,
2102,856859,-4.94256,856859,51,856859,63332,856859,
2122,856871,-4.865679999999999,856871,52,856871,63335,856869,
2149,856879,-4.94256,856879,52,856879,63358,856879,
2086,856891,-4.7888,856891,51,856891,63365,856889,
2123,856897,-4.865679999999999,856897,52,856897,63351,856897,
2161,856917,-5.0194399999999995,856917,52,856917,63314,856917,
2208,856941,-4.94256,856941,52,856941,63013,856939,
2106,856961,-4.865679999999999,856961,52,856961,62615,856959,
2094,856967,-4.94256,856967,52,856967,62505,856966,
2049,856969,-4.94256,856969,51,856969,62401,856969,
1947,856981,-4.865679999999999,856981,52,856981,62330,856982,
1910,857005,-4.94256,857005,51,857005,62238,857002,
1901,857027,-4.94256,857027,51,857027,62321,857027,
2000,857057,-4.94256,857057,51,857057,62343,857051,
1992,857071,-4.865679999999999,857071,51,857071,62411,857071,
