ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
2069,204485,-4.7888,204485,53,204485,64514,204479,
2113,204489,-4.7888,204489,52,204489,64533,204489,
2043,204499,-4.711919999999999,204499,53,204499,64582,204497,
2067,204519,-4.7888,204519,54,204519,64602,204520,
2033,204541,-4.7888,204541,53,204541,64590,204542,
2133,204549,-4.63504,204549,53,204549,64596,204550,
2132,204551,-4.7888,204551,53,204551,64620,204552,
2048,204559,-4.711919999999999,204559,53,204559,64606,204560,
2033,204561,-4.7888,204561,53,204561,64629,204562,
2083,204569,-4.558160000000001,204569,53,204569,64616,204570,
2096,204571,-4.7888,204571,52,204571,64600,204572,
2049,204579,-4.711919999999999,204579,52,204579,64619,204580,
2042,204581,-4.711919999999999,204581,53,204581,64607,204582,
2106,204589,-4.7888,204589,53,204589,64621,204590,
2120,204591,-4.7888,204591,53,204591,64569,204592,
2061,204599,-4.711919999999999,204599,53,204599,64632,204600,
2049,204601,-4.711919999999999,204601,54,204601,64567,204602,
2083,204609,-4.7888,204609,53,204609,64637,204610,
2097,204611,-4.7888,204611,53,204611,64552,204612,
2053,204619,-4.63504,204619,53,204619,64619,204620,
2040,204621,-4.7888,204621,53,204621,64550,204622,
2102,204629,-4.711919999999999,204629,53,204629,64600,204630,
2120,204631,-4.7888,204631,53,204631,64585,204632,
2113,204639,-4.865679999999999,204639,53,204639,64591,204640,
2106,204641,-4.7888,204641,53,204641,64603,204642,
2122,204651,-4.7888,204651,52,204651,64619,204652,
2091,204691,-4.711919999999999,204691,54,204691,64625,204692,
2073,204699,-4.711919999999999,204699,54,204699,64657,204700,
2102,204709,-4.711919999999999,204709,53,204709,64638,204702,
1994,204737,-4.711919999999999,204737,53,204737,64713,204738,
1995,204761,-4.711919999999999,204761,54,204761,64659,204760,
2088,204771,-4.7888,204771,53,204771,64667,204770,
2045,204789,-4.711919999999999,204789,53,204789,64698,204790,
2966,204817,-4.711919999999999,204817,53,204817,64672,204818,
3012,204819,-4.711919999999999,204819,53,204819,64723,204820,
2797,204827,-4.711919999999999,204827,53,204827,64720,204828,
2043,204867,-4.7888,204867,53,204867,64726,204867,
2039,204879,-4.7888,204879,53,204879,64712,204879,
2095,204915,-4.7888,204915,54,204915,64728,204909,
2078,204917,-4.711919999999999,204917,52,204917,64723,204917,
2068,204919,-4.63504,204919,53,204919,64730,204919,
2070,204921,-4.711919999999999,204921,53,204921,64730,204919,
2085,204939,-4.711919999999999,204939,53,204939,64732,204939,
2160,204979,-4.7888,204979,53,204979,64779,204979,
2198,204987,-4.7888,204987,54,204987,64697,204982,
2214,204989,-4.63504,204989,54,204989,64783,204989,
2208,205021,-4.94256,205021,54,205021,64790,205022,
2244,205029,-4.7888,205029,58,205029,64775,205029,
2241,205031,-4.7888,205031,54,205031,64772,205032,
2207,205036,-4.711919999999999,205036,54,205036,64772,205032,
2158,205041,-4.711919999999999,205041,53,205041,64735,205042,
2173,205049,-4.63504,205049,53,205049,64675,205048,
2018,205061,-4.711919999999999,205061,53,205061,64414,205062,
1891,205089,-4.711919999999999,205089,54,205089,63977,205090,
1897,205091,-4.63504,205091,53,205091,63851,205092,
1837,205099,-4.7888,205099,53,205099,63912,205100,
1827,205101,-4.711919999999999,205101,53,205101,63853,205102,
1921,205111,-4.865679999999999,205111,52,205111,63853,205112,
1941,205121,-4.7888,205121,52,205121,63871,205122,
2010,205181,-4.711919999999999,205181,54,205181,64159,205181,
2035,205186,-4.7888,205186,53,205186,64159,205181,
2089,205191,-4.711919999999999,205191,53,205191,64263,205190,
2104,205196,-4.7888,205196,52,205196,64263,205190,
2102,205197,-4.711919999999999,205197,52,205197,64295,205198,
2048,205206,-4.7888,205206,52,205206,64311,205200,
2076,205209,-4.7888,205209,52,205209,64301,205210,
2080,205221,-4.711919999999999,205221,53,205221,64351,205220,
2090,205247,-4.711919999999999,205247,52,205247,64452,205248,
2093,205251,-4.63504,205251,53,205251,64484,205250,
2062,205256,-4.711919999999999,205256,53,205256,64484,205250,
2122,205267,-4.711919999999999,205267,52,205267,64466,205268,
2129,205291,-4.7888,205291,53,205291,64541,205290,
2106,205296,-4.711919999999999,205296,53,205296,64541,205290,
